Num,,pdb_id,,number_chain,,Protein_1,,protein_2,,Difficulty
99,,1lqb,,4,,C,,D,,0
100,,1lqs,,4,,L M,,S R,,0
101,,1mhh,,6,,A,,E,,0
102,,1mi5,,5,,A C,,E D,,0
103,,1mlc,,6,,A B,,E,,0
104,,1mq8,,4,,A,,B,,0
105,,1mtn,,8,,B C,,D,,0
106,,1mxe,,4,,A,,E,,0
107,,1n64,,3,,H L,,P,,0
108,,1nb5,,12,,A P,,I,,0
109,,1nca,,3,,N,,L H,,0
110,,1nez,,4,,A,,H B J,,0
111,,1nf3,,4,,A,,C,,0
112,,1nl0,,3,,L H,,G,,0
113,,1nm5,,3,,A B,,C,,0
114,,1nma,,3,,L H,,N,,1
115,,1nsn,,3,,L H,,S,,0
116,,1nvu,,3,,S,,R,,0
117,,1nys,,4,,A C,,B D,,0
118,,1nyu,,4,,A C,,B D,,0
119,,1o94,,6,,A,,C D,,0
120,,1o95,,6,,A,,E F,,0
121,,1ob1,,6,,A B,,C,,0
122,,1oey,,8,,A,,J,,0
123,,1ogy,,16,,A,,B,,0
124,,1oqe,,18,,J,,R,,0
125,,1oyv,,3,,A B,,I,,0
126,,1p0s,,3,,E,,H,,0
127,,1p1z,,4,,A,,D,,0
128,,1p22,,3,,A,,C,,0
129,,1p27,,4,,C,,D,,0
130,,1p2c,,6,,A B,,C,,0
131,,1p3q,,4,,Q R,,V,,0
132,,1p4b,,3,,H L,,P,,0
133,,1p4l,,4,,A,,D,,0
134,,1p9m,,3,,A C,,B,,1
135,,1pk1,,4,,A,,B,,0
136,,1psb,,4,,A,,C,,0
137,,1pvh,,4,,A,,B,,0
138,,1pxv,,4,,A,,C,,0
139,,1qa9,,4,,A,,B,,0
140,,1qfu,,4,,L H,,A,,1
141,,1qfw,,6,,A B,,L H,,0
142,,1qse,,5,,A,,C,,0
143,,1qty,,8,,W V,,Y,,0
144,,1qur,,3,,H,,I,,0
145,,1r6q,,4,,A,,C,,0
146,,1rlb,,6,,A B D,,F,,0
147,,1rpq,,8,,A,,W,,0
148,,1rv6,,4,,W V,,Y,,0
149,,1rvj,,3,,NaN,,NaN,,2
150,,1s1q,,4,,A,,B,,0
151,,1s4y,,4,,D,,C,,0
152,,6s53,,12,,A B,,C D,,0
153,,1sbb,,4,,A C,,D,,0
154,,1sg1,,3,,A B,,X,,0
155,,1shz,,4,,A,,C,,0
156,,1sv0,,4,,A,,C,,0
157,,1sy6,,3,,L H,,A,,0
158,,1tbq,,6,,R,,H,,0
159,,1tbr,,6,,S,,K,,0
160,,1th1,,4,,A,,C,,0
161,,1toc,,12,,B,,R,,0
162,,1tt5,,6,,B,,E,,0
163,,1ty4,,4,,A,,C,,0
164,,1tzh,,6,,W V,,L H,,0
165,,1tzi,,3,,A B,,V,,1
166,,1tzn,,28,,O,,o,,0
167,,1u7f,,3,,A C,,B,,0
168,,1u7v,,3,,A C,,B,,0
169,,1uad,,4,,A,,C,,0
170,,1uex,,3,,A B,,C,,0
171,,1ul1,,6,,B,,Y,,0
172,,1usv,,8,,A,,B,,0
173,,1uug,,4,,A,,B,,0
174,,1uuz,,4,,A,,D,,0
175,,1uwx,,8,,L H,,A,,0
176,,1v7p,,3,,A B,,C,,0
177,,1vfb,,3,,A B,,C,,0
178,,1vpp,,4,,W V,,X,,0
179,,1vrc,,4,,B A,,D,,0
180,,1vsq,,3,,A B,,C,,0
181,,1vyh,,20,,A B,,D,,0
182,,1vyt,,4,,A,,E,,0
183,,1w1w,,8,,B,,F,,0
184,,1w72,,10,,L H,,A C,,0
185,,1wdw,,12,,D,,C,,0
186,,1wej,,3,,L H,,F,,0
187,,1wr6,,8,,A,,E,,0
188,,1wve,,4,,A,,C,,0
189,,1x1u,,6,,A,,D,,0
190,,1x1w,,6,,A,,D,,0
191,,1x1x,,6,,A,,D,,0
192,,1x1y,,6,,A,,D,,0
193,,1x75,,4,,A B,,C D,,0
194,,1xd3,,4,,A,,B,,0
195,,1xqh,,4,,A,,B,,0
196,,1xqs,,4,,A,,C,,0
197,,1xu1,,6,,B,,S,,0
198,,1xwd,,6,,A B,,C,,0
199,,1xx9,,4,,D C,,B,,0
200,,1xxd,,4,,D C,,B,,0
201,,1xxf,,4,,A,,C D,,0
202,,1y76,,4,,A C,,B D,,0
203,,1yd8,,4,,U,,H,,0
204,,1yk0,,3,,A B,,E,,1
205,,1yk1,,3,,A B,,E,,1
206,,1yy9,,3,,C D,,A,,0
207,,1yyl,,8,,G M,,H L,,0
208,,1yym,,8,,G M,,H L,,0
209,,1z0k,,4,,A,,B,,0
210,,1z5s,,4,,A B,,D,,0
211,,1z7x,,4,,W Y,,X,,0
212,,1za3,,6,,A B,,S,,0
213,,1zc3,,4,,A,,D,,0
214,,1zc4,,4,,A,,D,,0
215,,1ze3,,3,,C H,,D,,0
216,,1zm4,,6,,A,,B,,0
217,,1zmy,,3,,A,,L,,0
218,,1zr0,,4,,A,,B,,0
219,,2a6d,,5,,A B,,P,,0
220,,2a6i,,3,,A B,,P,,0
221,,2a6k,,5,,H L,,P,,0
222,,2a9h,,5,,A B C D,,E,,0
223,,2abz,,6,,A,,C D,,0
224,,2aep,,3,,L H,,A,,1
225,,2aeq,,3,,L H,,A,,1
226,,2ajf,,4,,A,,E,,0
227,,2ak4,,20,,A C,,D E,,0
228,,2aq1,,8,,A,,B,,0
229,,2aq3,,8,,E G,,F,,0
230,,2ass,,3,,B,,C,,0
231,,2ast,,4,,C D,,B,,0
232,,2aw2,,4,,A,,B,,0
233,,2aze,,3,,A B,,C,,0
234,,2b10,,4,,A,,B,,0
235,,2b11,,4,,A,,B,,0
236,,2b2w,,4,,A B C,,D,,0
237,,2b2x,,6,,L H,,A,,0
238,,2b4j,,4,,A B,,C,,0
239,,2b5i,,4,,B C D,,A,,1
240,,2bdn,,3,,H L,,A,,0
241,,2be6,,6,,A,,D,,0
242,,2bnq,,5,,A,,C,,0
243,,2bnr,,5,,A,,C,,0
244,,2bo9,,4,,A,,B,,0
245,,2bp7,,8,,A C,,B D,,0
246,,2bqz,,4,,A,,B,,0
247,,2bwe,,21,,C D E,,T,,0
248,,2byk,,4,,A,,B,,0
249,,2bym,,4,,A,,B,,0
250,,2c1t,,4,,A,,C,,0
251,,2c5d,,4,,A B,,C,,0
252,,2c7n,,12,,A,,B,,0
253,,2cjs,,3,,A B,,C,,0
254,,2cmr,,3,,H L,,A,,0
255,,2d10,,8,,A,,E,,0
256,,2d1k,,3,,A,,C,,0
257,,2dd8,,3,,L H,,S,,0
258,,2dsq,,6,,B G,,I,,0
259,,2dsr,,3,,B G,,I,,0
260,,2efd,,4,,A,,B,,0
261,,2efh,,4,,A,,B,,0
262,,2erj,,8,,A B C,,D,,1
263,,2es4,,4,,A,,D,,0
264,,2f5z,,15,,A B,,K,,0
265,,2f6a,,10,,E F G,,C,,0
266,,2f9z,,4,,A,,C,,0
267,,2fdb,,4,,M,,P,,0
268,,2fjg,,6,,W V,,H L,,0
269,,2fjh,,6,,H L,,V,,0
270,,2fu5,,4,,A,,D,,0
271,,2g45,,4,,A,,B,,0
272,,2g9h,,4,,A B C,,D,,0
273,,2gh0,,4,,C D,,B,,0
274,,2gl7,,6,,B C,,A,,0
275,,2gox,,4,,A,,B,,0
276,,2h4m,,4,,A,,C,,0
277,,2h62,,4,,A B,,C D,,0
278,,2h64,,3,,A B,,C,,1
279,,2h9g,,6,,A B,,R,,0
280,,2hfg,,3,,H L,,R,,0
281,,2hqs,,8,,A,,H,,0
282,,2hwn,,6,,A B,,E,,0
283,,2i25,,4,,L,,N,,0
284,,2i26,,6,,L,,N,,0
285,,2i32,,4,,A,,E,,0
286,,2i3s,,6,,A,,B,,0
287,,2i3t,,8,,A,,B,,0
288,,2i5y,,8,,G,,M,,0
289,,2i60,,8,,G,,M,,0
290,,2i9b,,8,,A,,E,,0
291,,2ibf,,3,,A,,B,,0
292,,2iff,,3,,L H,,Y,,0
293,,2ifg,,4,,E F,,B,,0
294,,2ihs,,4,,A,,C,,0
295,,2ij0,,4,,B,,C,,0
296,,2ijo,,3,,A B,,I,,0
297,,2iou,,8,,D E F,,H G,,0
298,,2iwg,,4,,A,,B,,0
299,,2iy0,,3,,C B,,A,,0
300,,2iy1,,4,,A,,B,,0
301,,2iyb,,8,,A,,E,,0
302,,2j0t,,6,,A,,D,,0
303,,2j1k,,24,,C,,T,,0
304,,2j4w,,3,,H L,,D,,0
305,,2j59,,12,,A,,M,,0
306,,2j5l,,3,,C B,,A,,0
307,,2j6e,,6,,M I H L,,A B,,0
308,,2j7p,,4,,A,,D,,0
309,,2j8s,,5,,A C,,E,,0
310,,2j8u,,10,,A,,C,,0
311,,2j8x,,4,,A,,B,,0
312,,2jcc,,10,,A,,C,,0
313,,2jel,,3,,H L,,P,,0
314,,2jix,,9,,A F,,C,,0
315,,2jjs,,4,,A,,C,,0
316,,2jjt,,4,,A,,C,,0
317,,2jki,,6,,A,,S,,0
318,,2jtt,,4,,A B,,D,,0
319,,2jzn,,3,,A B,,C,,0
320,,2k05,,4,,A C,,D,,0
321,,2kde,,3,,B C,,A,,0
322,,2ki4,,4,,B C,,A,,0
323,,2kyg,,3,,A B,,C,,0
324,,2lnh,,3,,A B,,C,,0
325,,2lnk,,3,,A B,,C,,0
326,,2lvp,,3,,A B,,C,,0
327,,2lvq,,3,,A B,,D,,0
328,,2lxp,,3,,B C,,A,,0
329,,2m49,,4,,B D,,A,,0
330,,2ma9,,3,,A,,B C,,0
331,,2mak,,4,,A C,,B D,,0
332,,2mjw,,4,,A,,D B,,0
333,,2mkc,,3,,B C,,A,,0
334,,2mta,,4,,H L,,A,,1
335,,2n13,,4,,C,,D,,0
336,,2noj,,8,,A,,B,,0
337,,2nup,,3,,A B,,C,,0
338,,2nut,,3,,A B,,C,,0
339,,2nyy,,3,,C D,,A,,0
340,,2nyz,,4,,A B,,E,,0
341,,2nz1,,6,,A B,,D,,0
342,,2nz9,,6,,D C,,A,,0
343,,2o98,,4,,A B,,P Q,,0
344,,2odg,,3,,A B,,C,,0
345,,2ody,,6,,E,,B,,0
346,,2oin,,4,,A,,C,,0
347,,2oje,,8,,A B,,C,,0
348,,2onl,,4,,C,,A,,0
349,,2oor,,3,,A B,,C,,0
350,,2oqj,,12,,A B,,C,,0
351,,2ot8,,4,,A,,C,,0
352,,2otk,,3,,E F,,C,,0
353,,2p1l,,8,,A,,B,,0
354,,2p3f,,3,,H,,N,,0
355,,2p42,,4,,A,,B,,0
356,,2p46,,4,,A,,B,,0
357,,2p4a,,4,,A,,B,,0
358,,2p5e,,5,,A,,C,,0
359,,2p5t,,9,,C,,D,,0
360,,2pcb,,3,,A,,B,,0
361,,2pcc,,4,,A,,B,,0
362,,2phe,,3,,A B,,C,,0
363,,2pjy,,3,,A B,,C,,0
364,,2pkg,,4,,A,,C,,0
365,,2pms,,4,,A,,C,,0
366,,2pop,,4,,A,,B,,0
367,,2psm,,4,,A,,F,,0
368,,2pw8,,3,,H,,I,,0
369,,2pye,,5,,E D,,C,,0
370,,2q0o,,4,,A B,,C D,,0
371,,2q5d,,4,,A,,C,,0
372,,2q7n,,4,,A,,B,,0
373,,2qej,,4,,B,,C,,0
374,,2qho,,8,,A,,B,,0
375,,2qiy,,4,,A B,,C D,,0
376,,2qj9,,4,,A B,,C,,0
377,,2qja,,4,,A B,,C,,0
378,,2qjb,,4,,A B,,C,,0
379,,2qr0,,24,,A B,,C D,,0
380,,2r0k,,3,,L H,,A,,0
381,,2r0l,,4,,L H,,A,,0
382,,2r56,,6,,L H,,A,,0
383,,2r9p,,8,,A C,,E G,,0
384,,2ra3,,4,,A,,C,,0
385,,2rf9,,4,,C,,A,,0
386,,2rgn,,6,,A,,B,,0
387,,2uwe,,10,,A,,C,,0
388,,2uxn,,3,,A B,,C,,0
389,,2uzi,,3,,L H,,R,,0
390,,2v1d,,3,,A B,,C,,0
391,,2v2w,,6,,A,,C,,0
392,,2v51,,4,,F,,B,,0
393,,2v5q,,4,,A,,D,,0
394,,2ve7,,4,,A,,C,,0
395,,2vfx,,12,,NaN,,NaN,,2
396,,2vir,,3,,A B,,C,,0
397,,2vis,,3,,A B,,C,,0
398,,2vlj,,5,,D E,,C,,0
399,,2vlr,,10,,D E,,C,,0
400,,2vof,,4,,A,,B,,0
401,,2vwe,,6,,C E L J,,A B,,0
402,,2vxq,,3,,L H,,A,,0
403,,2vxs,,12,,C D,,J N,,0
404,,2vxt,,3,,L H,,I,,0
405,,2vyr,,12,,D,,H,,0
406,,2w19,,4,,B,,D,,0
407,,2w2m,,3,,A,,E,,0
408,,2w2n,,3,,A,,E,,0
409,,2w2x,,4,,A,,D,,0
410,,2w80,,8,,A,,D,,0
411,,2w81,,6,,A,,D,,0
412,,2w83,,5,,C D,,A,,0
413,,2w8b,,8,,A,,H,,0
414,,2w9e,,3,,L H,,A,,0
415,,2wbj,,8,,A B,,C D,,0
416,,2wby,,6,,C D,,A,,0
417,,2wg3,,4,,A,,C,,0
418,,2wii,,3,,A B,,C,,0
419,,2wjv,,4,,A,,D,,0
420,,2wp0,,4,,A B,,C D,,1
421,,2wqz,,4,,A,,D,,0
422,,2wss,,25,,F T,,V,,0
423,,2wub,,8,,Q R,,C,,0
424,,2wuc,,5,,H L,,A,,0
425,,2wus,,4,,A,,R,,0
426,,2wvw,,24,,F G,,V U,,0
427,,2wx0,,6,,A B,,C,,0
428,,2wy2,,4,,A C,,D,,0
429,,2wy3,,4,,A,,B,,0
430,,2x1w,,8,,A B,,N,,0
431,,2x2d,,4,,C,,D,,0
432,,2x89,,7,,E D,,A,,0
433,,2x9a,,4,,C,,D,,0
434,,2xa0,,4,,A,,C,,0
435,,2xb6,,4,,A,,C,,0
436,,2xbb,,4,,A,,C,,0
437,,2xdf,,4,,A,,C,,0
438,,2xns,,4,,B,,D,,0
439,,2xqb,,3,,H L,,A,,0
440,,2xqr,,12,,A,,B,,0
441,,2xqw,,3,,A B,,C,,0
442,,2xra,,3,,L H,,A,,0
443,,2xtj,,6,,D B,,A,,0
444,,2xzd,,6,,A B,,G,,0
445,,2xze,,4,,R,,B,,0
446,,2y0b,,6,,A B,,G,,0
447,,2y48,,3,,A,,C,,0
448,,2y5b,,4,,A,,B,,0
449,,2y6t,,8,,E F,,A,,0
450,,2y8s,,4,,A,,B,,0
451,,2y8t,,4,,A,,B,,0
452,,2ybr,,9,,A B,,C,,0
453,,2yj1,,4,,C,,D,,0
454,,2ypl,,5,,A C,,E D,,0
455,,2ypv,,3,,H L,,A,,0
456,,2yvj,,3,,A,,B,,0
457,,2z34,,4,,A B,,C D,,0
458,,2z3q,,4,,A,,B,,0
459,,2z3r,,16,,A,,B,,0
460,,2z8v,,4,,A,,D,,0
461,,2z8w,,4,,A,,D,,0
462,,2za4,,4,,A,,B,,0
463,,2zvk,,6,,C,,W,,0
464,,2zvn,,8,,B D,,A,,0
465,,2zvo,,4,,B D,,A,,0
466,,2zxx,,6,,A B,,C,,0
467,,3a4s,,4,,B,,C,,0
468,,3a67,,3,,H L,,Y,,0
469,,3a6b,,3,,H L,,Y,,0
470,,3a6c,,3,,H L,,Y,,0
471,,3aa0,,3,,A B,,C,,0
472,,3aa6,,3,,A B,,C,,0
473,,3aaa,,3,,A B,,C,,0
474,,3ay4,,3,,A B,,C,,0
475,,3b08,,8,,A,,B,,0
476,,3b23,,3,,B,,C,,0
477,,3b2u,,24,,H L,,A,,0
478,,3b2v,,3,,H L,,A,,0
479,,3b4v,,8,,A B,,C D,,0
480,,6s29,,4,,A,,B,,0
481,,3b9f,,3,,H,,I,,0
482,,3bdy,,3,,H L,,V,,0
483,,3be1,,3,,H L,,A,,0
484,,3bg4,,4,,B C,,D,,0
485,,3bgf,,6,,B C,,A,,0
486,,3bik,,3,,B C,,A,,0
487,,3biw,,8,,A,,E,,0
488,,3bk3,,4,,A B,,D,,0
489,,3bky,,3,,H L,,P,,0
490,,3bow,,3,,A B,,C,,0
491,,3bp8,,4,,A,,C,,0
492,,3bpl,,3,,A B,,C,,0
493,,3bpn,,3,,A B,,C,,0
494,,3bpo,,3,,A C,,B,,0
495,,3brt,,4,,A C,,B D,,0
496,,3brv,,4,,A C,,B D,,0
497,,3bx1,,4,,A,,C,,0
498,,3c09,,6,,H L,,D,,0
499,,3c4m,,4,,A,,C,,0
500,,3c66,,4,,A,,C,,0
501,,3c8k,,4,,A,,D,,0
502,,3c9a,,4,,B,,D,,0
503,,3chw,,3,,A,,P,,0
504,,3cqx,,4,,C D,,A,,0
505,,3crk,,4,,A B,,C,,0
506,,3d1m,,4,,A,,D,,0
507,,3d2u,,8,,A,,D,,0
508,,3d39,,5,,A C,,E D,,0
509,,3d3v,,5,,A C,,E D,,0
510,,3d5o,,6,,B C,,F,,0
511,,3d5r,,4,,A,,C,,0
512,,3d5s,,4,,A,,C,,0
513,,3d7u,,4,,A,,B,,0
514,,3da7,,8,,A,,D,,0
515,,3dbh,,12,,C D,,J,,0
516,,3dbl,,12,,G H,,L,,0
517,,3dbr,,12,,E F,,K,,0
518,,3dco,,3,,A B,,N,,0
519,,3dgc,,4,,R,,L,,0
520,,3di2,,4,,A,,B,,0
521,,3dmm,,5,,C D,,A,,0
522,,3dvg,,4,,A B,,X Y,,0
523,,3dvn,,8,,A B,,X Y,,0
524,,3dvu,,4,,A,,C,,0
525,,3dxa,,15,,E D,,A,,0
526,,3dxc,,4,,A,,B,,0
527,,3dxd,,4,,A,,B,,0
528,,3dxe,,4,,A,,B,,0
529,,3e2h,,4,,A Q,,B C,,0
530,,3e2k,,4,,A,,D,,0
531,,3e2l,,4,,A,,C,,0
532,,3e2u,,8,,A,,E,,0
533,,3e3q,,32,,A Q,,E D,,0
534,,3eab,,12,,A,,G,,0
535,,3ech,,3,,A B,,C,,0
536,,3eg5,,4,,A,,B,,0
537,,3egg,,4,,A,,C,,0
538,,3ehu,,4,,A,,C,,0
539,,3eiq,,3,,A,,C,,0
540,,3ejh,,4,,A,,E,,0
541,,3ejj,,3,,A,,X,,0
542,,3eo1,,12,,E D,,F C,,0
543,,3eoa,,6,,H L,,I,,0
544,,3eob,,6,,H L,,I,,0
545,,3eoy,,12,,B,,H,,0
546,,3etb,,8,,F,,J,,0
547,,3ew3,,3,,B C,,A,,0
548,,3f4y,,6,,A C,,E D F,,0
549,,3f5c,,3,,B C,,A,,0
550,,3f7p,,5,,A,,C,,0
551,,3ff7,,4,,A B,,C,,0
552,,3ff8,,4,,A B,,C D,,0
553,,3ffc,,10,,A C,,D E,,0
554,,3fie,,4,,A,,C,,0
555,,3fku,,18,,A B C,,Y,,0
556,,3fsh,,3,,A B,,C,,0
557,,3fxd,,4,,A,,B,,0
558,,3g3a,,8,,A,,B,,0
559,,3g3b,,8,,A,,B,,0
560,,3g6d,,3,,H L,,A,,0
561,,3g6j,,8,,A B,,E F,,0
562,,3g7z,,4,,B C D,,A,,0
563,,3g9v,,4,,A,,B,,0
564,,3g9w,,4,,A,,D,,0
565,,3gd1,,4,,C E,,I,,0
566,,3gj4,,4,,A,,B,,0
567,,3gj5,,4,,A,,B,,0
568,,3gj7,,4,,A,,B,,0
569,,3gj8,,4,,A,,B,,0
570,,3gjf,,10,,L H,,A C,,0
571,,3gjn,,4,,B,,D,,0
572,,3gmw,,4,,A,,B,,0
573,,3gs2,,4,,A C,,B D,,0
574,,3gsn,,5,,A B,,H P,,0
575,,3h2u,,4,,A,,B,,0
576,,3h2v,,8,,A,,E,,0
577,,3h3p,,6,,H L,,S,,0
578,,3h42,,4,,A B,,H L,,0
579,,3h6s,,8,,A,,E,,0
580,,3h7b,,6,,A,,C,,0
581,,3h8d,,8,,A B,,E F,,0
582,,3h9h,,6,,A,,C,,0
583,,3hae,,20,,A C,,H L,,0
584,,3hcu,,4,,A,,B,,0
585,,3he6,,4,,C D,,A,,0
586,,3he7,,4,,C D,,A,,0
587,,3hg0,,4,,A B C,,D,,0
588,,3hh2,,4,,A B,,D,,0
589,,3hi1,,6,,A B,,J,,0
590,,3hi6,,6,,X Y,,B,,0
591,,3ho5,,3,,B,,H,,0
592,,3hpw,,3,,A B,,C,,0
593,,3htu,,8,,A,,B,,0
594,,3hug,,20,,A C,,B D,,0
595,,3huj,,8,,G H,,A,,0
596,,3ia3,,4,,A,,D,,0
597,,3idx,,3,,H L,,G,,0
598,,3idy,,6,,H L B C,,A,,0
599,,3ifq,,4,,A,,C,,0
600,,3im4,,3,,A B,,C,,0
601,,3inb,,4,,A,,D,,0
602,,3it8,,12,,B C,,E,,0
603,,3iu3,,9,,A B,,K,,0
604,,3ixa,,6,,A,,C,,0
605,,3ixs,,12,,A,,B,,0
606,,3ixt,,6,,H L,,P,,0
607,,3jrm,,21,,U,,D E,,0
608,,3jse,,21,,C D,,T,,0
609,,3jsv,,4,,C D,,A,,0
610,,3jtl,,21,,D E,,U,,0
611,,3jvf,,3,,A B,,C,,0
612,,3k2m,,4,,A,,D,,0
613,,3k2u,,4,,H L,,A,,0
614,,3k3q,,3,,B C,,A,,0
615,,3k6g,,6,,A,,D,,0
616,,3k75,,4,,B,,D,,0
617,,3k9m,,4,,A,,C,,0
618,,3kbt,,4,,A,,D,,0
619,,3kls,,4,,A,,X,,0
620,,3kpr,,10,,A C,,E D,,0
621,,3kps,,5,,A C,,E D,,0
622,,3kr3,,3,,H L,,D,,0
623,,3kxf,,20,,A Q,,D E,,0
624,,3kz0,,4,,A,,C,,0
625,,3kz1,,4,,A,,F,,0
626,,3l33,,8,,A,,E,,0
627,,3l5n,,3,,A B,,M,,0
628,,3l5w,,6,,H L,,I,,0
629,,3l5x,,3,,H L,,A,,0
630,,3l89,,24,,A B,,M,,0
631,,3l95,,6,,A B,,X,,0
632,,3laq,,4,,A,,U,,0
633,,3lb6,,4,,A,,C,,0
634,,3lb8,,4,,A,,C,,0
635,,3lev,,3,,L H,,A,,0
636,,3lh2,,12,,S V,,L H,,0
637,,3lhp,,6,,H L,,S,,0
638,,3lk2,,3,,A B,,T,,0
639,,3lk3,,3,,A B,,T,,0
640,,3lk4,,36,,A B,,C,,0
641,,3lqa,,4,,G C,,H L,,0
642,,3m0a,,4,,A B C,,D,,0
643,,3m9d,,18,,A B,,G,,0
644,,3ma2,,4,,C,,D,,0
645,,3ma9,,3,,H L,,A,,0
646,,3mac,,3,,H L,,A,,0
647,,3mc0,,4,,A,,B,,0
648,,3mhp,,3,,A,,C,,0
649,,3mj9,,3,,H L,,A,,0
650,,3mjh,,4,,A,,B,,0
651,,3mv7,,5,,A C,,E D,,0
652,,3mv8,,5,,A C,,E D,,0
653,,3mv9,,5,,A C,,E D,,0
654,,3mxw,,3,,H L,,A,,0
655,,3n85,,3,,H L,,A,,1
656,,3nfp,,6,,A B,,K,,0
657,,3ngb,,12,,L H,,G,,0
658,,3nh7,,12,,L H,,A,,0
659,,3noc,,5,,A,,E,,0
660,,3nog,,5,,B,,D,,0
661,,3nps,,3,,B C,,A,,0
662,,3npz,,3,,B C,,A,,0
663,,3nvq,,4,,E,,F,,0
664,,3o4o,,3,,B C,,A,,0
665,,3o6b,,10,,A,,B,,0
666,,3o6f,,8,,A B,,C D,,0
667,,3o6q,,4,,A C,,B,,0
668,,3o8x,,4,,C D,,A,,0
669,,3o9w,,4,,C D,,A,,0
670,,3oak,,4,,A,,D,,0
671,,3oed,,4,,A,,C,,0
672,,3ogo,,8,,G,,B,,0
673,,3oj2,,4,,A,,C,,0
674,,3onl,,3,,A B,,C,,0
675,,3onw,,4,,A,,C,,0
676,,3opz,,9,,L H,,A,,0
677,,3orv,,6,,F C D,,A,,0
678,,3osl,,4,,A,,B,,0
679,,3owt,,3,,A B,,C,,0
680,,3oxu,,6,,F,,B,,0
